"fdc_id","data_type","description","food_category_id","publication_date"
"2341025","survey_fndds_food","Onion dip, light","","2022-10-28"
"2341026","survey_fndds_food","Ranch dip, regular","","2022-10-28"
"2341027","survey_fndds_food","Ranch dip, light","","2022-10-28"
"2341028","survey_fndds_food","Spinach dip, regular","","2022-10-28"
"2341029","survey_fndds_food","Spinach dip, light","","2022-10-28"
"2341030","survey_fndds_food","Vegetable dip, regular","","2022-10-28"
"2341031","survey_fndds_food","Vegetable dip, light","","2022-10-28"
"2341032","survey_fndds_food","Ice cream, NFS","","2022-10-28"
"2341033","survey_fndds_food","Ice cream, vanilla","","2022-10-28"
"2341034","survey_fndds_food","Ice cream, vanilla, with additional ingredients","","2022-10-28"
"2341035","survey_fndds_food","Ice cream, chocolate","","2022-10-28"
"2341036","survey_fndds_food","Ice cream, chocolate, with additional ingredients","","2022-10-28"
"2341037","survey_fndds_food","Ice cream, soft serve, vanilla","","2022-10-28"
"2341038","survey_fndds_food","Ice cream, soft serve, chocolate","","2022-10-28"
"2341039","survey_fndds_food","Gelato, vanilla","","2022-10-28"
"2341040","survey_fndds_food","Gelato, chocolate","","2022-10-28"
"2341041","survey_fndds_food","Ice cream bar, vanilla","","2022-10-28"
"2341042","survey_fndds_food","Ice cream bar, vanilla, chocolate coated","","2022-10-28"
"2341043","survey_fndds_food","Ice cream candy bar","","2022-10-28"
"2341044","survey_fndds_food","Ice cream bar, chocolate","","2022-10-28"
"2341045","survey_fndds_food","Ice cream sandwich, vanilla","","2022-10-28"
"2341046","survey_fndds_food","Ice cream sandwich, chocolate","","2022-10-28"
"2341047","survey_fndds_food","Ice cream cookie sandwich","","2022-10-28"
"2341048","survey_fndds_food","Ice cream cone, scooped, vanilla","","2022-10-28"
"2341049","survey_fndds_food","Ice cream cone, scooped, vanilla, waffle cone","","2022-10-28"
"2341050","survey_fndds_food","Ice cream cone, NFS","","2022-10-28"
"2341051","survey_fndds_food","Ice cream cone, scooped, chocolate","","2022-10-28"
"2341052","survey_fndds_food","Ice cream cone, scooped, chocolate, waffle cone","","2022-10-28"
"2341053","survey_fndds_food","Ice cream cone, soft serve, vanilla","","2022-10-28"
"2341054","survey_fndds_food","Ice cream cone, soft serve, chocolate","","2022-10-28"
"2341055","survey_fndds_food","Ice cream cone, soft serve, vanilla, waffle cone","","2022-10-28"
"2341056","survey_fndds_food","Ice cream cone, soft serve, chocolate, waffle cone","","2022-10-28"
"2341057","survey_fndds_food","Ice cream cone, vanilla, prepackaged","","2022-10-28"
"2341058","survey_fndds_food","Ice cream cone, chocolate, prepackaged","","2022-10-28"
"2341059","survey_fndds_food","Ice cream soda, flavors other than chocolate","","2022-10-28"
"2341060","survey_fndds_food","Ice cream soda, chocolate","","2022-10-28"
"2341061","survey_fndds_food","Ice cream sundae, NFS","","2022-10-28"
"2341062","survey_fndds_food","Ice cream sundae, fruit topping","","2022-10-28"
"2341063","survey_fndds_food","Banana split","","2022-10-28"
"2341064","survey_fndds_food","Ice cream sundae, hot fudge topping","","2022-10-28"
"2341065","survey_fndds_food","Ice cream sundae, caramel topping","","2022-10-28"
"2341066","survey_fndds_food","Ice cream, fried","","2022-10-28"
"2341067","survey_fndds_food","Light ice cream, NFS","","2022-10-28"
"2341068","survey_fndds_food","Light ice cream, vanilla","","2022-10-28"
"2341069","survey_fndds_food","Light ice cream, chocolate","","2022-10-28"
"2341070","survey_fndds_food","Soft serve, blended with candy or cookies, from fast food","","2022-10-28"
"2341071","survey_fndds_food","Light ice cream sandwich, vanilla","","2022-10-28"
"2341072","survey_fndds_food","Light ice cream sandwich, chocolate","","2022-10-28"
"2341073","survey_fndds_food","Light ice cream bar, vanilla","","2022-10-28"
"2341074","survey_fndds_food","Light ice cream bar, vanilla, chocolate coated","","2022-10-28"
"2341075","survey_fndds_food","Light ice cream bar, chocolate","","2022-10-28"
"2341076","survey_fndds_food","Creamsicle","","2022-10-28"
"2341077","survey_fndds_food","Fudgesicle","","2022-10-28"
"2341078","survey_fndds_food","Light ice cream cone, vanilla, prepackaged","","2022-10-28"
"2341079","survey_fndds_food","Light ice cream cone, chocolate, prepackaged","","2022-10-28"
"2341080","survey_fndds_food","Sherbet, all flavors","","2022-10-28"
"2341081","survey_fndds_food","Fudgesicle, light","","2022-10-28"
"2341082","survey_fndds_food","Pudding, chocolate, NFS","","2022-10-28"
"2341083","survey_fndds_food","Pudding, bread","","2022-10-28"
"2341084","survey_fndds_food","Pudding, flavors other than chocolate, NFS","","2022-10-28"
"2341085","survey_fndds_food","Custard","","2022-10-28"
"2341086","survey_fndds_food","Flan","","2022-10-28"
"2341087","survey_fndds_food","Creme brulee","","2022-10-28"
"2341088","survey_fndds_food","Pudding, rice","","2022-10-28"
"2341089","survey_fndds_food","Firni, Indian pudding","","2022-10-28"
"2341090","survey_fndds_food","Pudding, tapioca, made from dry mix","","2022-10-28"
"2341091","survey_fndds_food","Pudding, flavors other than chocolate, made from dry mix","","2022-10-28"
"2341092","survey_fndds_food","Pudding, chocolate, made from dry mix","","2022-10-28"
"2341093","survey_fndds_food","Pudding, flavors other than chocolate, made from dry mix, sugar free","","2022-10-28"
"2341094","survey_fndds_food","Pudding, chocolate, made from dry mix, sugar free","","2022-10-28"
"2341095","survey_fndds_food","Pudding, flavors other than chocolate, ready-to-eat","","2022-10-28"
